application_id,application_time,credit_score,annual_income,debt_to_income,employment_length,loan_amount,loan_purpose,home_ownership,number_of_delinquent_accounts,delinquent_months,months_since_last_delinquent,revolving_utilization,inquiries_last_6m,model_score,probability_of_default,risk_rating,application_status,actual_default,past_due_days,score_band,income_band
CD000000,2025-02-01 17:58:14,771,147371,18.59,18,20796,credit_card,RENT,1,3,55,65.56,2,731,0.009344,LOW,APPROVED,0,0,700-800,100K+
CD000001,2025-04-05 06:15:11,501,108163,25.21,3,49707,other,RENT,2,7,47,36.66,2,431,0.929748,VERY_HIGH,DECLINED,1,150,<600,100K+
CD000002,2025-04-16 20:52:10,723,54230,19.78,2,27251,debt_consolidation,RENT,0,0,0,54.74,0,699,0.018936,LOW,APPROVED,0,0,600-700,50-75K
CD000003,2025-03-17 15:54:00,675,35687,33.48,0,17935,other,OWN,0,0,0,18.28,1,651,0.040033,MEDIUM,DECLINED,0,0,600-700,<50K
CD000004,2025-05-10 20:56:51,743,56980,20.2,1,19710,credit_card,MORTGAGE,0,0,0,81.31,0,693,0.024534,LOW,APPROVED,0,0,600-700,50-75K
CD000005,2025-03-12 17:53:04,692,94785,17.84,7,9708,debt_consolidation,MORTGAGE,0,0,0,30.34,1,758,0.002284,LOW,APPROVED,0,0,700-800,75-100K
CD000006,2025-01-09 18:22:40,771,75367,20.63,1,29091,debt_consolidation,RENT,1,6,51,26.11,2,689,0.017135,LOW,APPROVED,0,0,600-700,75-100K
CD000007,2025-01-23 05:37:36,672,33269,29.15,1,30762,debt_consolidation,RENT,1,4,36,35.02,2,648,0.049789,MEDIUM,APPROVED,1,90,600-700,<50K
CD000008,2025-02-18 17:07:47,642,63554,27.19,1,17801,home_improvement,OWN,1,4,10,74.51,1,565,0.238022,HIGH,DECLINED,0,0,<600,50-75K
CD000009,2025-01-04 23:12:37,703,79248,17.32,3,47337,debt_consolidation,RENT,0,0,0,50.15,1,619,0.141809,HIGH,DECLINED,0,0,600-700,75-100K
CD000010,2025-03-19 23:15:32,695,39684,6.9,0,58157,other,OWN,0,0,0,37.18,1,731,0.004628,LOW,APPROVED,0,0,700-800,<50K
CD000011,2025-01-26 08:48:33,651,89490,31.71,8,33226,debt_consolidation,MORTGAGE,0,0,0,60.92,3,542,0.413699,HIGH,DECLINED,1,60,<600,75-100K
CD000012,2025-05-12 16:23:37,657,116218,33.09,8,10965,debt_consolidation,RENT,2,6,46,44.06,1,675,0.025245,LOW,APPROVED,0,0,600-700,100K+
CD000013,2025-02-22 23:29:12,710,90844,15.97,4,12723,credit_card,RENT,1,2,53,83.92,3,733,0.007902,LOW,APPROVED,0,0,700-800,75-100K
CD000014,2025-02-13 23:24:06,709,41112,24.91,7,33762,credit_card,RENT,1,6,44,61.09,1,613,0.110437,HIGH,DECLINED,0,0,600-700,<50K
CD000015,2025-03-03 02:52:20,644,53202,28.11,3,28784,other,RENT,2,8,39,84.94,2,612,0.210652,HIGH,APPROVED,0,30,600-700,50-75K
CD000016,2025-02-16 11:57:41,651,58356,18.99,1,72181,credit_card,RENT,0,0,0,56.2,1,741,0.005288,LOW,APPROVED,0,0,700-800,50-75K
CD000017,2025-06-26 04:59:26,571,51514,23.91,7,27597,other,RENT,0,0,0,72.86,2,560,0.367028,HIGH,APPROVED,0,0,<600,50-75K
CD000018,2025-05-15 07:30:08,763,88705,8.95,2,36523,credit_card,RENT,1,5,5,49.73,3,723,0.009588,LOW,APPROVED,0,0,700-800,75-100K
CD000019,2025-04-18 10:31:33,658,62693,17.13,6,17872,other,MORTGAGE,0,0,0,41.63,1,678,0.026422,LOW,APPROVED,0,0,600-700,50-75K
CD000020,2025-06-10 20:33:51,744,60301,26.21,13,42726,major_purchase,MORTGAGE,0,0,0,68.54,1,662,0.031697,MEDIUM,APPROVED,0,0,600-700,50-75K
CD000021,2025-04-10 10:23:47,694,69674,19.73,1,19854,debt_consolidation,RENT,3,8,54,40.82,3,619,0.103712,HIGH,APPROVED,0,0,600-700,50-75K
CD000022,2025-02-13 10:56:23,778,49385,33.33,3,15857,debt_consolidation,MORTGAGE,2,4,56,74.97,1,631,0.091748,MEDIUM,APPROVED,0,0,600-700,<50K
CD000023,2025-06-22 22:32:08,755,33045,31.49,18,36211,debt_consolidation,RENT,1,3,46,46.66,0,687,0.032359,MEDIUM,APPROVED,0,0,600-700,<50K
CD000024,2025-02-11 14:13:39,688,63363,26.69,1,17459,credit_card,RENT,1,4,38,30.0,2,572,0.328345,HIGH,APPROVED,0,30,<600,50-75K
CD000025,2025-04-28 06:44:34,752,51769,29.71,1,15434,credit_card,MORTGAGE,0,0,0,85.17,1,676,0.032374,MEDIUM,APPROVED,0,0,600-700,50-75K
CD000026,2025-04-29 18:52:12,618,81032,34.59,4,10917,debt_consolidation,OWN,0,0,0,56.27,3,519,0.50501,VERY_HIGH,DECLINED,0,0,<600,75-100K
CD000027,2025-06-28 16:22:36,740,66610,25.31,2,8680,credit_card,OWN,0,0,0,61.32,0,693,0.017415,LOW,APPROVED,0,0,600-700,50-75K
CD000028,2025-01-05 21:40:23,589,53442,35.1,1,62199,debt_consolidation,OWN,0,0,0,47.85,3,572,0.308103,HIGH,APPROVED,1,120,<600,50-75K
CD000029,2025-05-22 19:11:05,690,97516,28.09,6,56077,credit_card,RENT,1,6,20,48.04,1,639,0.109983,HIGH,APPROVED,0,0,600-700,75-100K
CD000030,2025-02-10 03:10:39,729,59587,33.7,7,13424,other,RENT,1,4,20,25.38,1,714,0.016147,LOW,APPROVED,0,0,700-800,50-75K
CD000031,2025-03-14 20:57:33,683,33864,16.54,22,32006,credit_card,OWN,1,6,8,72.74,2,715,0.010979,LOW,APPROVED,0,0,700-800,<50K
CD000032,2025-03-15 19:32:59,651,120113,17.48,11,10151,credit_card,RENT,0,0,0,76.87,1,678,0.031376,MEDIUM,APPROVED,0,0,600-700,100K+
