txn_id,txn_date,txn_amount,merchant_category,fraud_score,fraud_probability,decision_flag,is_fraud
TXN0000000,2025-01-21,66.78,grocery,590,0.063312,REVIEW,0
TXN0000001,2025-02-18,92.63,grocery,524,0.036099,APPROVED,0
TXN0000002,2025-06-19,49.33,grocery,696,0.149048,APPROVED,0
TXN0000003,2025-01-02,25.04,electronics,442,0.017784,APPROVED,0
TXN0000004,2025-06-27,40.44,electronics,621,0.08161,APPROVED,0
TXN0000005,2025-05-11,22.4,fashion,499,0.029185,APPROVED,0
TXN0000006,2025-03-29,71.25,grocery,376,0.009913,APPROVED,0
TXN0000007,2025-04-19,291.27,fashion,571,0.05386,APPROVED,0
TXN0000008,2025-03-09,38.81,gaming,647,0.101494,APPROVED,0
TXN0000009,2025-04-12,33.7,travel,547,0.044004,APPROVED,0
TXN0000010,2025-02-09,114.3,travel,530,0.03794,APPROVED,0
TXN0000011,2025-03-31,98.75,travel,504,0.030357,APPROVED,0
TXN0000012,2025-03-15,74.89,travel,290,0.004616,APPROVED,0
TXN0000013,2025-06-17,23.96,fashion,326,0.006372,APPROVED,0
TXN0000014,2025-06-19,64.57,grocery,437,0.01697,REVIEW,0
TXN0000015,2025-02-23,143.28,travel,359,0.008494,APPROVED,0
TXN0000016,2025-04-23,15.2,fashion,419,0.014507,APPROVED,0
TXN0000017,2025-06-14,40.31,electronics,436,0.016798,APPROVED,0
TXN0000018,2025-03-06,8.24,electronics,612,0.076286,APPROVED,0
TXN0000019,2025-01-31,16.14,fashion,541,0.041712,APPROVED,0
TXN0000020,2025-06-25,8.79,fashion,450,0.018955,APPROVED,0
TXN0000021,2025-05-06,51.49,travel,539,0.041192,APPROVED,0
TXN0000022,2025-02-23,16.54,fashion,387,0.010947,APPROVED,0
TXN0000023,2025-06-19,89.87,electronics,509,0.031801,APPROVED,0
TXN0000024,2025-06-08,79.24,grocery,656,0.108816,APPROVED,0
TXN0000025,2025-01-28,54.29,grocery,348,0.007744,APPROVED,0
TXN0000026,2025-03-12,4.19,travel,469,0.022475,APPROVED,0
TXN0000027,2025-05-19,36.87,travel,788,0.284639,BLOCKED,0
TXN0000028,2025-02-13,63.22,fashion,429,0.015793,APPROVED,0
TXN0000029,2025-02-19,75.54,grocery,421,0.014785,APPROVED,0
TXN0000030,2025-04-04,12.39,electronics,422,0.014895,APPROVED,0
TXN0000031,2025-01-11,39.43,fashion,422,0.01486,APPROVED,0
TXN0000032,2025-03-25,22.73,electronics,396,0.011792,APPROVED,0
TXN0000033,2025-03-19,27.39,crypto,551,0.045642,APPROVED,0
TXN0000034,2025-01-23,214.22,travel,418,0.014327,APPROVED,0
TXN0000035,2025-05-06,27.43,travel,545,0.043216,APPROVED,0
TXN0000036,2025-04-12,64.34,travel,624,0.083861,APPROVED,0
TXN0000037,2025-02-21,176.41,crypto,469,0.022537,APPROVED,0
TXN0000038,2025-03-27,35.09,travel,586,0.061161,APPROVED,0
TXN0000039,2025-06-21,58.98,fashion,452,0.019366,APPROVED,0
TXN0000040,2025-02-26,75.3,crypto,659,0.11169,APPROVED,0
TXN0000041,2025-01-01,71.53,crypto,689,0.140621,APPROVED,0
TXN0000042,2025-01-29,17.33,electronics,406,0.012913,REVIEW,0
TXN0000043,2025-02-18,72.51,grocery,621,0.082026,APPROVED,0
TXN0000044,2025-01-20,297.29,fashion,661,0.113237,APPROVED,0
TXN0000045,2025-03-03,12.16,fashion,523,0.035975,APPROVED,0
TXN0000046,2025-03-20,171.63,travel,532,0.038619,REVIEW,0
TXN0000047,2025-03-08,76.04,travel,544,0.042767,APPROVED,0
TXN0000048,2025-04-30,32.93,electronics,435,0.016658,APPROVED,0
TXN0000049,2025-02-23,602.12,electronics,534,0.039474,APPROVED,0
TXN0000050,2025-02-02,154.24,grocery,697,0.149699,APPROVED,0
TXN0000051,2025-01-04,17.83,electronics,447,0.018483,APPROVED,0
TXN0000052,2025-05-16,72.38,travel,444,0.017964,APPROVED,0
TXN0000053,2025-02-07,125.76,travel,482,0.025187,APPROVED,0
TXN0000054,2025-02-19,54.18,electronics,397,0.011946,APPROVED,0
TXN0000055,2025-02-17,141.34,electronics,391,0.011343,APPROVED,0
TXN0000056,2025-06-24,61.98,crypto,541,0.04195,APPROVED,0
