application_id,application_time,credit_score,annual_income,debt_to_income,employment_length,loan_amount,loan_purpose,home_ownership,number_of_delinquent_accounts,delinquent_months,months_since_last_delinquent,revolving_utilization,inquiries_last_6m,model_score,probability_of_default,risk_rating,application_status,actual_default,past_due_days,score_band,income_band
APP00000,46:27.6,749,71603,8.867416,5,34202,major_pur,RENT,7,0,36,53.81189,0,760,0.073617,LOW,APPROVED,0,0,600-700,50-75K
APP00000,46:27.6,686,79252,25.97574,3,10150,other,MORTGAG,9,0,48,47.66108,1,742,0.066639,LOW,APPROVED,0,0,700-800,75-100K
APP00000,46:27.6,764,102901,15.76908,15,23963,home_imp,OWN,12,0,24,33.10455,0,623,0.04054,LOW,APPROVED,1,90,700-800,100K+
APP00000,46:27.6,850,101407,23.73948,1,7576,other,RENT,14,0,36,77.72299,3,599,0.052304,HIGH,APPROVED,0,90,<600,100K+
APP00000,46:27.6,676,30066,4.383396,1,13614,major_pur,MORTGAG,5,0,48,15.57095,0,553,0.075911,LOW,APPROVED,0,90,<600,<50K
APP00000,46:27.6,676,37462,48.19594,3,28447,debt_cons,OTHER,6,0,24,4.907703,0,700,0.127661,HIGH,APPROVED,0,30,600-700,<50K
APP00000,46:27.6,850,77460,38.48992,10,6158,other,MORTGAG,4,0,0,39.25833,0,634,0.052992,VERY_HIG,DECLINED,0,0,600-700,75-100K
APP00000,46:27.6,776,77411,24.19452,15,31331,other,MORTGAG,14,0,0,60.20458,0,608,0.080192,MEDIUM,APPROVED,0,90,600-700,75-100K
APP00000,46:27.6,653,77460,65.58795,1,21683,debt_cons,OTHER,9,0,0,42.6552,0,602,0.066817,HIGH,APPROVED,0,30,600-700,75-100K
APP00001,46:27.6,754,411007,17.35122,5,34268,home_imp,RENT,13,0,6,41.84676,1,795,0.087624,MEDIUM,APPROVED,0,30,700-800,100K+
APP00001,46:27.6,653,79653,67.73955,0,26347,debt_cons,MORTGAG,7,0,0,54.68048,1,745,0.139302,MEDIUM,APPROVED,0,0,700-800,75-100K
APP00001,46:27.6,653,105638,6.052637,10,65598,other,OTHER,11,0,0,19.26585,0,833,0.225187,LOW,APPROVED,0,0,800+,100K+
APP00001,46:27.6,724,96471,3.634864,15,24347,home_imp,RENT,9,0,0,2.782069,1,702,0.104448,LOW,APPROVED,0,0,700-800,75-100K
APP00001,46:27.6,508,82925,42.84333,5,15622,home_imp,MORTGAG,7,0,0,26.58417,0,655,0.097687,LOW,APPROVED,0,120,600-700,75-100K
APP00001,46:27.6,527,51142,18.37694,15,24290,debt_cons,MORTGAG,6,0,48,17.14309,1,647,0.030655,MEDIUM,DECLINED,0,0,<600,50-75K
APP00001,46:27.6,643,87507,25.35369,7,34017,other,MORTGAG,13,1,48,54.22361,1,547,0.074302,LOW,APPROVED,0,60,<600,75-100K
