application_id,application_time,credit_score,annual_income,debt_to_income,employment_length,loan_amount,loan_purpose,home_ownership,number_of_delinquent_accounts,delinquent_months,months_since_last_delinquent,revolving_utilization,inquiries_last_6m,model_score,probability_of_default,risk_rating,application_status,actual_default,past_due_days,score_band,income_band,channel,notes
EC000000,46:27.6,695,86531.0,26.78,0.0,10622,other,MORTGAGE,0,0,0,62.93,1,,0.02774,MEDIUM,APPROVED,0,0,600-700,75-100K,ONLINE,case-932035-919145
EC000001,2025-05-08 00:19:06,664,79801.0,30.49,4.0,11428,home_improvement,MORTGAGE,0,0,0,49.87,1,601.0,0.198648,VERY_HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-561742-781022
EC000002,2025-01-17 02:17:42,693,87985.0,8.9,3.0,22531,other,RENT,0,0,0,58.34,0,714.0,0.009187,LOW,APPROVED,0,0,700-800,75-100K,ONLINE,case-342406-998845
EC000003,2025-02-15 11:00:23,728,75744.0,27.35,,14520,debt_consolidation,MORTGAGE,0,0,0,70.09,1,661.0,0.042065,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-184823-157190
EC000004,2025-04-27 09:50:35,593,60454.0,16.53,1.0,26516,other,OTHER,0,0,0,93.34,4,564.0,0.359693,VERY_HIGH,APPROVED,1,60,<600,50-75K,ONLINE,case-676129-917416
EC000005,2025-01-18 15:11:02,783,79823.0,13.32,,18955,credit_card,RENT,1,1,31,71.79,3,730.0,0.007166,LOW,APPROVED,0,30,700-800,75-100K,ONLINE,case-112674-631987
EC000006,46:27.6,665,57883.0,10.1,6.0,29804,other,MORTGAGE,1,6,55,28.14,0,719.0,0.016513,MEDIUM,APPROVED,0,0,700-800,50-75K,ONLINE,case-586419-886217
EC000007,2025-01-02 11:30:28,657,28457.0,15.63,9.0,17742,credit_card,OTHER,0,0,0,20.31,0,640.0,0.066178,HIGH,APPROVED,0,30,600-700,<50K,ONLINE,case-525008-760020
EC000008,2025-06-14 07:00:14,632,71148.0,7.26,20.0,17292,credit_card,RENT,0,0,0,64.42,1,658.0,0.042639,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-972194-024612
EC000009,2025-01-19 18:35:06,741,33254.0,18.64,1.0,16862,home_improvement,MORTGAGE,0,0,0,52.04,2,725.0,0.007232,LOW,APPROVED,0,0,700-800,<50K,ONLINE,case-822524-723328
EC000010,2025-05-02 10:15:55,727,37171.0,15.57,4.0,43402,credit_card,MORTGAGE,1,2,26,53.76,1,715.0,0.013956,LOW,APPROVED,0,0,700-800,<50K,ONLINE,case-330175-059705
EC000011,2025-01-16 05:57:44,758,50078.0,29.34,1.0,14811,other,RENT,0,0,0,20.15,1,728.0,0.006668,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-469809-051793
