application_id,application_time,credit_score,annual_income,debt_to_income,employment_length,loan_amount,loan_purpose,home_ownership,number_of_delinquent_accounts,delinquent_months,months_since_last_delinquent,revolving_utilization,inquiries_last_6m,model_score,probability_of_default,risk_rating,application_status,actual_default,past_due_days,score_band,income_band
CS000000,2025-01-16 15:26:26,688,97529,17.8,1,18491,credit_card,RENT,0,0,0,43.0,0,704,0.0166,LOW,APPROVED,0,0,700-800,75-100K
CS000001,2025-02-23 08:26:38,746,96489,38.8,6,14045,major_purchase,RENT,0,0,0,67.07,0,694,0.031775,MEDIUM,APPROVED,0,0,600-700,75-100K
CS000002,2025-03-02 01:36:23,729,55304,24.16,11,39028,home_improvement,MORTGAGE,1,2,33,62.59,4,650,0.069484,HIGH,APPROVED,0,0,600-700,50-75K
CS000003,2025-04-13 04:17:41,728,73321,13.82,11,11711,credit_card,RENT,0,0,0,43.62,2,716,0.007768,LOW,APPROVED,0,0,700-800,50-75K
CS000004,2025-02-17 15:53:37,777,97784,31.45,9,16761,major_purchase,RENT,0,0,0,51.19,0,727,0.006522,LOW,APPROVED,0,0,700-800,75-100K
CS000005,2025-06-15 09:32:16,622,119318,32.33,18,35239,credit_card,MORTGAGE,0,0,0,52.78,2,603,0.199473,VERY_HIGH,APPROVED,0,0,600-700,100K+
CS000006,2025-06-12 19:41:42,654,44234,15.34,5,53601,credit_card,MORTGAGE,0,0,0,29.56,1,623,0.105823,HIGH,APPROVED,0,0,600-700,<50K
CS000007,2025-01-18 13:08:09,616,72334,42.85,4,26918,debt_consolidation,RENT,2,1,54,25.15,0,550,0.525936,VERY_HIGH,DECLINED,0,0,<600,50-75K
CS000008,2025-03-03 09:20:12,682,38686,32.61,1,34323,major_purchase,MORTGAGE,2,2,46,86.42,0,563,0.259025,VERY_HIGH,DECLINED,0,0,<600,<50K
CS000009,2025-02-21 11:25:20,743,42118,10.03,0,12508,major_purchase,RENT,0,0,0,27.79,1,819,0.001204,LOW,APPROVED,0,0,800+,<50K
CS000010,2025-03-08 14:53:05,687,60659,26.31,3,7675,credit_card,RENT,1,4,43,44.1,2,654,0.078767,HIGH,APPROVED,0,0,600-700,50-75K
CS000011,2025-03-03 11:07:27,716,57038,18.31,11,33340,home_improvement,RENT,0,0,0,55.82,2,653,0.035966,MEDIUM,APPROVED,0,0,600-700,50-75K
CS000012,2025-03-01 07:55:01,583,38276,11.0,1,16499,debt_consolidation,MORTGAGE,2,3,4,10.98,4,545,0.461806,VERY_HIGH,DECLINED,0,0,<600,<50K
CS000013,2025-01-22 19:17:26,696,41577,26.15,12,30841,credit_card,OWN,1,2,45,16.69,0,731,0.005972,LOW,APPROVED,0,0,700-800,<50K
CS000014,2025-04-16 12:20:58,638,60102,29.71,22,24842,major_purchase,MORTGAGE,3,3,3,53.55,1,565,0.329615,VERY_HIGH,DECLINED,1,60,<600,50-75K
CS000015,2025-05-29 08:28:18,786,32512,20.5,5,23293,credit_card,MORTGAGE,2,4,54,48.76,1,698,0.021273,MEDIUM,APPROVED,0,0,600-700,<50K
CS000016,2025-03-06 05:33:07,737,66664,24.96,20,20426,major_purchase,OWN,1,3,11,53.26,1,665,0.033869,MEDIUM,APPROVED,0,0,600-700,50-75K
CS000017,2025-01-28 15:29:11,740,36193,25.44,6,18802,home_improvement,MORTGAGE,2,4,3,33.85,4,694,0.014549,LOW,APPROVED,0,0,600-700,<50K
CS000018,2025-02-22 17:41:55,685,116806,22.11,9,9290,other,RENT,0,0,0,4.81,1,686,0.026932,MEDIUM,APPROVED,0,0,600-700,100K+
CS000019,2025-04-19 06:04:27,722,66890,17.59,0,10826,credit_card,RENT,1,4,30,56.23,0,727,0.011071,LOW,APPROVED,0,0,700-800,50-75K
CS000020,2025-01-19 20:56:06,724,86323,22.58,5,10497,major_purchase,OWN,0,0,0,52.22,2,680,0.023679,MEDIUM,APPROVED,0,0,600-700,75-100K
CS000021,2025-01-22 00:28:35,669,52297,33.6,1,22105,debt_consolidation,RENT,0,0,0,43.51,3,612,0.150366,HIGH,APPROVED,0,0,600-700,50-75K
CS000022,2025-02-28 17:52:45,661,101660,33.57,1,10316,major_purchase,RENT,0,0,0,19.43,0,641,0.04945,HIGH,DECLINED,0,0,600-700,100K+
CS000023,2025-01-05 10:12:52,682,77752,31.52,22,8823,debt_consolidation,RENT,1,2,20,22.38,1,640,0.09217,HIGH,APPROVED,0,0,600-700,75-100K
CS000024,2025-01-16 07:48:48,655,86451,34.13,9,31080,other,OWN,1,3,21,22.06,1,654,0.090019,HIGH,APPROVED,0,0,600-700,75-100K
CS000025,2025-06-27 02:21:23,656,64898,22.86,1,6242,debt_consolidation,MORTGAGE,1,2,20,29.86,2,627,0.112822,HIGH,APPROVED,0,60,600-700,50-75K
CS000026,2025-03-30 20:43:01,673,81901,17.24,7,4055,debt_consolidation,RENT,0,0,0,8.12,0,706,0.013448,LOW,APPROVED,0,0,700-800,75-100K
CS000027,2025-05-31 19:31:56,648,59001,11.59,15,78773,other,MORTGAGE,0,0,0,36.72,0,690,0.012026,LOW,DECLINED,0,0,600-700,50-75K
CS000028,2025-03-05 23:01:56,730,81465,33.67,0,7489,debt_consolidation,MORTGAGE,1,5,7,28.59,2,685,0.021335,MEDIUM,APPROVED,0,0,600-700,75-100K
CS000029,2025-01-17 08:18:48,600,53943,30.07,4,16841,credit_card,MORTGAGE,0,0,0,42.22,2,551,0.318994,VERY_HIGH,APPROVED,0,0,<600,50-75K
CS000030,2025-01-24 08:51:17,734,53673,21.46,9,31983,credit_card,MORTGAGE,1,2,4,46.62,0,732,0.008397,LOW,APPROVED,0,0,700-800,50-75K
CS000031,2025-05-10 06:47:24,654,66370,24.66,3,8023,home_improvement,RENT,0,0,0,20.01,1,684,0.038448,MEDIUM,APPROVED,0,0,600-700,50-75K
CS000032,2025-05-12 18:56:50,658,64865,28.1,4,14656,major_purchase,RENT,1,4,12,53.89,0,644,0.092197,HIGH,APPROVED,0,0,600-700,50-75K
CS000033,2025-02-18 22:57:30,614,60381,22.01,4,45907,debt_consolidation,MORTGAGE,1,0,2,75.79,1,619,0.125101,HIGH,APPROVED,1,90,600-700,50-75K
CS000034,2025-03-03 09:40:06,680,43612,22.0,3,10036,credit_card,OWN,0,0,0,72.85,0,667,0.042395,MEDIUM,APPROVED,0,0,600-700,<50K
CS000035,2025-06-04 12:16:17,675,54957,27.66,5,13054,credit_card,MORTGAGE,2,3,25,77.4,0,596,0.171943,HIGH,APPROVED,1,120,<600,50-75K
CS000036,2025-04-18 20:04:33,699,94666,13.1,3,6837,debt_consolidation,OWN,1,4,58,54.67,1,707,0.014022,LOW,APPROVED,0,0,700-800,75-100K
CS000037,2025-02-10 20:07:48,659,65732,10.15,30,28876,home_improvement,RENT,1,3,24,54.67,0,719,0.010351,LOW,APPROVED,0,0,700-800,50-75K
CS000038,2025-02-04 15:27:03,693,72153,26.37,10,27703,debt_consolidation,RENT,1,4,39,73.3,2,610,0.145119,HIGH,APPROVED,1,150,600-700,50-75K
CS000039,2025-01-29 20:22:26,788,49155,20.33,1,24188,credit_card,OWN,2,3,2,23.99,2,670,0.017033,MEDIUM,APPROVED,0,0,600-700,<50K
CS000040,2025-05-07 22:17:36,711,116196,22.86,7,4808,credit_card,OWN,0,0,0,56.84,1,661,0.045831,HIGH,APPROVED,0,0,600-700,100K+
CS000041,2025-03-16 03:05:25,657,56522,34.07,2,37067,debt_consolidation,RENT,1,3,44,0.0,1,658,0.051189,HIGH,APPROVED,0,0,600-700,50-75K
CS000042,2025-06-22 11:15:35,741,79485,26.35,2,43999,credit_card,MORTGAGE,1,5,34,55.5,0,674,0.024925,MEDIUM,APPROVED,0,0,600-700,75-100K
