application_id,application_time,credit_score,annual_income,debt_to_income,employment_length,loan_amount,loan_purpose,home_ownership,number_of_delinquent_accounts,delinquent_months,months_since_last_delinquent,revolving_utilization,inquiries_last_6m,model_score,probability_of_default,risk_rating,application_status,actual_default,past_due_days,score_band,income_band
BL000000,2024-05-22 03:15:49,692,145415,35.24,2,12944,credit_card,RENT,0,0,0,27.4,2,682,0.020403,MEDIUM,APPROVED,0,0,600-700,100K+
BL000001,2024-11-04 10:22:06,765,36823,16.91,9,11664,debt_consolidation,MORTGAGE,2,8,2,72.91,1,657,0.027497,MEDIUM,APPROVED,0,0,600-700,<50K
BL000002,2024-06-11 07:20:34,757,61405,27.55,5,18816,debt_consolidation,RENT,0,0,0,74.08,1,734,0.007514,LOW,APPROVED,0,0,700-800,50-75K
BL000003,2024-05-09 06:22:57,662,38657,31.54,0,12259,other,OWN,1,1,49,45.57,3,614,0.156185,HIGH,DECLINED,0,0,600-700,<50K
BL000004,2024-09-17 06:08:45,674,94344,9.24,11,22661,major_purchase,OWN,1,3,17,55.35,3,666,0.03415,MEDIUM,APPROVED,0,0,600-700,75-100K
BL000005,2024-03-30 02:30:58,661,105591,10.68,2,52225,home_improvement,MORTGAGE,0,0,0,51.78,0,707,0.014117,LOW,APPROVED,0,0,700-800,100K+
BL000006,2024-05-23 13:54:11,721,117918,17.74,9,11391,credit_card,OWN,0,0,0,32.09,1,753,0.006067,LOW,APPROVED,0,0,700-800,100K+
BL000007,2024-05-09 08:03:48,687,54118,20.82,12,24003,major_purchase,MORTGAGE,0,0,0,65.24,2,683,0.031196,MEDIUM,APPROVED,0,0,600-700,50-75K
BL000008,2024-03-19 02:35:29,731,65193,24.46,3,14938,other,RENT,1,7,36,42.19,0,710,0.014345,LOW,APPROVED,1,90,700-800,50-75K
BL000009,2024-08-08 22:56:20,588,90358,17.28,9,11607,home_improvement,MORTGAGE,3,2,15,6.25,3,598,0.214666,VERY_HIGH,DECLINED,0,0,<600,75-100K
BL000010,2024-10-14 00:55:05,776,69198,17.4,14,26832,debt_consolidation,MORTGAGE,0,0,0,5.42,0,766,0.002221,LOW,APPROVED,0,0,700-800,50-75K
BL000011,2024-04-04 21:56:50,685,72751,14.78,11,25461,major_purchase,RENT,1,6,25,20.2,0,705,0.017466,MEDIUM,APPROVED,0,0,700-800,50-75K
BL000012,2024-10-17 15:14:15,727,69692,14.82,2,16548,home_improvement,RENT,1,8,47,37.78,1,639,0.048888,HIGH,APPROVED,0,0,600-700,50-75K
BL000013,2024-02-25 18:57:09,682,72109,27.17,6,28557,home_improvement,RENT,1,4,16,47.95,2,608,0.138333,HIGH,APPROVED,1,60,600-700,50-75K
BL000014,2024-01-20 08:44:26,669,60470,19.34,14,7756,home_improvement,RENT,2,4,43,41.42,0,660,0.039112,MEDIUM,APPROVED,0,0,600-700,50-75K
BL000015,2024-08-20 17:58:22,715,77903,14.3,1,17780,other,MORTGAGE,1,5,4,63.88,2,665,0.024458,MEDIUM,APPROVED,0,0,600-700,75-100K
BL000016,2024-07-11 13:49:23,735,32731,13.53,3,20065,major_purchase,MORTGAGE,1,2,57,32.62,0,694,0.017734,MEDIUM,APPROVED,0,60,600-700,<50K
BL000017,2024-07-16 19:28:56,679,52641,16.84,4,5714,major_purchase,MORTGAGE,0,0,0,68.67,4,671,0.049749,HIGH,APPROVED,0,0,600-700,50-75K
BL000018,2024-09-27 18:11:24,682,34788,9.66,16,56677,home_improvement,OWN,0,0,0,70.9,1,680,0.02352,MEDIUM,APPROVED,0,0,600-700,<50K
BL000019,2024-12-10 21:27:26,728,61242,25.65,16,14824,home_improvement,RENT,1,5,51,24.25,0,677,0.020397,MEDIUM,APPROVED,0,0,600-700,50-75K
BL000020,2024-03-19 16:35:07,642,45683,27.44,1,14819,home_improvement,OWN,0,0,0,27.83,0,642,0.06626,HIGH,APPROVED,0,0,600-700,<50K
BL000021,2024-01-12 21:24:21,607,81404,12.1,9,31663,debt_consolidation,RENT,0,0,0,73.05,0,617,0.148437,HIGH,APPROVED,0,0,600-700,75-100K
BL000022,2024-04-05 03:59:07,712,113164,19.08,2,32845,debt_consolidation,OWN,0,0,0,100.0,1,685,0.023807,MEDIUM,APPROVED,0,0,600-700,100K+
BL000023,2024-10-17 18:10:44,653,36238,20.63,1,23189,credit_card,RENT,3,3,38,34.87,1,602,0.169367,HIGH,DECLINED,0,0,600-700,<50K
BL000024,2024-04-28 04:53:41,584,44711,30.94,0,23995,debt_consolidation,MORTGAGE,2,5,56,41.52,2,494,0.710355,VERY_HIGH,DECLINED,1,150,<600,<50K
BL000025,2024-06-09 16:53:30,645,74110,17.29,4,14388,debt_consolidation,RENT,0,0,0,16.21,2,688,0.023891,MEDIUM,APPROVED,0,0,600-700,50-75K
BL000026,2024-02-09 07:09:33,664,122996,20.86,3,7330,other,MORTGAGE,0,0,0,44.72,1,664,0.04437,HIGH,APPROVED,0,0,600-700,100K+
BL000027,2024-01-14 02:37:53,624,90739,14.75,0,7721,major_purchase,OWN,0,0,0,55.05,0,646,0.08464,HIGH,APPROVED,0,0,600-700,75-100K
BL000028,2024-06-24 23:52:16,608,78059,15.29,10,16953,other,MORTGAGE,0,0,0,69.48,2,642,0.096382,HIGH,APPROVED,0,0,600-700,75-100K
BL000029,2024-02-03 22:17:46,692,62134,17.98,19,43336,credit_card,MORTGAGE,1,2,17,78.5,0,660,0.051885,HIGH,DECLINED,0,0,600-700,50-75K
BL000030,2024-09-14 20:41:01,739,52165,52.95,15,9999,other,RENT,0,0,0,35.56,1,592,0.148835,HIGH,APPROVED,0,0,<600,50-75K
BL000031,2024-02-01 09:55:35,677,76022,33.85,29,33432,home_improvement,OTHER,0,0,0,49.31,1,649,0.039314,MEDIUM,APPROVED,0,0,600-700,75-100K
BL000032,2024-07-13 14:39:02,649,80153,27.03,2,10132,major_purchase,OTHER,1,5,45,23.11,2,623,0.081993,HIGH,APPROVED,0,0,600-700,75-100K
BL000033,2024-07-30 04:23:35,711,68640,26.33,6,19687,debt_consolidation,OWN,1,6,12,35.56,0,681,0.027503,MEDIUM,APPROVED,0,0,600-700,50-75K
BL000034,2024-06-03 02:33:52,729,48950,10.34,5,44784,other,RENT,1,4,23,65.54,0,678,0.022194,MEDIUM,APPROVED,0,0,600-700,<50K
BL000035,2024-07-09 05:08:22,673,30728,15.23,17,14896,credit_card,OWN,0,0,0,34.82,2,706,0.018734,MEDIUM,APPROVED,0,0,700-800,<50K
BL000036,2024-10-16 18:33:18,720,43319,30.6,12,4942,home_improvement,RENT,0,0,0,28.97,1,667,0.038752,MEDIUM,APPROVED,0,0,600-700,<50K
BL000037,2024-10-19 10:20:13,747,53753,24.11,2,49429,home_improvement,RENT,0,0,0,53.32,0,735,0.006907,LOW,APPROVED,0,0,700-800,50-75K
BL000038,2024-10-23 18:36:18,679,37588,33.7,3,10573,debt_consolidation,MORTGAGE,1,5,31,7.14,3,643,0.079226,HIGH,APPROVED,0,0,600-700,<50K
BL000039,2024-11-21 08:02:39,645,73906,24.04,10,60644,credit_card,MORTGAGE,0,0,0,54.98,0,636,0.084357,HIGH,DECLINED,0,0,600-700,50-75K
BL000040,2024-07-31 13:32:15,709,33368,28.83,4,47267,credit_card,RENT,0,0,0,33.56,4,644,0.044834,HIGH,APPROVED,0,0,600-700,<50K
BL000041,2024-05-31 22:54:47,704,55488,25.0,2,57907,other,MORTGAGE,0,0,0,66.16,0,701,0.028758,MEDIUM,APPROVED,0,0,700-800,50-75K
BL000042,2024-03-19 06:08:04,750,74764,28.71,9,21276,major_purchase,RENT,1,4,7,23.54,2,724,0.012043,LOW,APPROVED,0,30,700-800,50-75K
BL000043,2024-08-30 02:01:46,619,92326,27.29,0,56076,credit_card,OWN,1,5,53,10.71,0,603,0.231991,VERY_HIGH,APPROVED,0,0,600-700,75-100K
BL000044,2024-03-08 10:09:50,654,71184,33.69,7,16054,debt_consolidation,MORTGAGE,1,3,52,26.91,1,621,0.093608,HIGH,APPROVED,0,0,600-700,50-75K
BL000045,2024-11-15 02:04:55,644,110376,19.37,4,41299,credit_card,OWN,0,0,0,39.93,0,669,0.0216,MEDIUM,APPROVED,0,0,600-700,100K+
BL000046,2024-08-02 05:57:23,595,48657,22.0,12,16489,home_improvement,RENT,2,6,45,67.17,1,563,0.279208,VERY_HIGH,DECLINED,1,90,<600,<50K
BL000047,2024-05-10 07:26:34,697,44791,17.91,2,28392,credit_card,MORTGAGE,0,0,0,0.0,0,717,0.007691,LOW,APPROVED,0,0,700-800,<50K
BL000048,2024-09-18 22:21:14,719,104588,23.9,4,34602,major_purchase,MORTGAGE,0,0,0,60.4,2,713,0.014012,LOW,APPROVED,0,0,700-800,100K+
BL000049,2024-04-17 06:06:17,649,42721,28.06,2,14910,debt_consolidation,MORTGAGE,2,0,20,81.9,0,588,0.272766,VERY_HIGH,DECLINED,0,0,<600,<50K
BL000050,2024-05-01 19:22:09,766,59354,24.66,0,8506,credit_card,OTHER,0,0,0,19.0,0,785,0.002465,LOW,APPROVED,0,0,700-800,50-75K
BL000051,2024-04-12 01:47:24,735,28979,6.72,5,24919,major_purchase,MORTGAGE,0,0,0,18.56,2,754,0.006596,LOW,APPROVED,0,0,700-800,<50K
BL000052,2024-12-25 15:24:18,725,106126,17.8,5,22633,credit_card,OTHER,0,0,0,36.58,2,706,0.015361,LOW,APPROVED,0,0,700-800,100K+
BL000053,2024-06-05 14:15:35,712,88266,19.2,10,21338,credit_card,RENT,1,3,27,68.56,0,689,0.022709,MEDIUM,APPROVED,0,0,600-700,75-100K
BL000054,2024-03-03 22:45:38,743,45269,21.07,8,32533,debt_consolidation,MORTGAGE,1,3,18,48.98,0,728,0.006887,LOW,APPROVED,0,30,700-800,<50K
BL000055,2024-06-06 16:42:45,617,28787,18.31,7,13140,credit_card,MORTGAGE,2,4,36,52.44,1,584,0.234378,VERY_HIGH,APPROVED,0,0,<600,<50K
BL000056,2024-05-22 18:48:45,724,71449,20.71,0,6396,credit_card,MORTGAGE,0,0,0,50.77,1,709,0.00907,LOW,APPROVED,0,0,700-800,50-75K
BL000057,2024-07-02 08:48:38,723,72063,32.08,5,8197,other,RENT,0,0,0,53.34,2,653,0.057704,HIGH,APPROVED,0,0,600-700,50-75K
BL000058,2024-04-01 23:46:18,593,108185,29.26,0,13958,major_purchase,OTHER,1,2,19,44.09,2,593,0.221495,VERY_HIGH,DECLINED,1,90,<600,100K+
BL000059,2024-07-08 01:50:14,709,147823,36.61,7,7466,other,MORTGAGE,3,5,56,40.87,0,636,0.071359,HIGH,APPROVED,0,0,600-700,100K+
